step,feature_added,brier,auc
1,grade,0.12249820069195644,0.6570767821122548
2,loan_to_income,0.12195413315248445,0.6676748745000258
3,home_ownership,0.12175020123182724,0.6712570907567459
4,dti,0.12155792077782487,0.6739610448172106
5,inq_last_6mths,0.12142449125852707,0.6757787413410294
6,fico_avg,0.12129596561950448,0.6776637980657766
7,emp_length_years,0.12117372050853083,0.6791254839222483
8,term_months,0.12105482927866477,0.6810451312358117
9,purpose,0.1209985962593342,0.6817620197706242
10,revol_util,0.12095449426293202,0.6820323154420985
11,open_acc,0.1209298799317112,0.6822708872960639
12,revol_bal,0.12088643352025813,0.6827506899551005
13,total_acc,0.12084956479179389,0.6831479038460807
14,verification_status,0.12082346220768693,0.6833811074364972
15,int_rate,0.12080686904474769,0.6836048290708485
16,delinq_2yrs,0.12080703429452377,0.6836247020369892
17,pub_rec,0.12080822469495449,0.6836202938262732
18,credit_history_months,0.12081000047658623,0.683721690322566
19,annual_inc,0.12081433220834704,0.6836558514802602
20,loan_amnt,0.12081353177540421,0.683724833125
