,0
int_rate,0.16376373
grade_B,0.13097118
grade_C,0.030919617
acc_open_past_24mths,0.028844642
grade_D,0.023101004
home_ownership_RENT,0.022449438
term_months,0.018082205
purpose_small_business,0.01607283
loan_to_income,0.015737906
bc_util_missing,0.014778706
sub_grade_C1,0.014118935
mort_acc,0.012485734
sub_grade_B5,0.012278276
verification_status_Source Verified,0.011226984
fico_avg,0.011014812
dti,0.010763194
avg_cur_bal,0.010249529
annual_inc,0.010248953
inq_last_6mths,0.010194146
sub_grade_C2,0.009603058
mths_since_recent_inq_missing,0.008776673
purpose_credit_card,0.0085638
acc_open_past_24mths_missing,0.008559633
sub_grade_B2,0.00852447
verification_status_Verified,0.008437079
tot_hi_cred_lim,0.008341556
mths_since_recent_bc,0.00831333
num_tl_op_past_12m_missing,0.008285764
num_actv_rev_tl,0.008106941
num_tl_op_past_12m,0.008085253
total_bc_limit,0.00790136
sub_grade_A4,0.0078907395
mo_sin_rcnt_rev_tl_op_missing,0.0075911772
mo_sin_old_rev_tl_op,0.00758292
mths_since_recent_inq,0.007509238
purpose_wedding,0.0075047878
mo_sin_rcnt_tl,0.007483584
sub_grade_C4,0.007265387
grade_F,0.0072473045
avg_cur_bal_missing,0.007029064
grade_G,0.0070213038
total_rev_hi_lim,0.006904645
purpose_moving,0.0067794267
sub_grade_G1,0.006722815
home_ownership_OWN,0.0066474844
bc_open_to_buy,0.0066440976
sub_grade_B4,0.006575038
sub_grade_B3,0.006485911
bc_util,0.006383036
purpose_other,0.006332031
percent_bc_gt_75,0.0063272626
grade_E,0.0061912485
purpose_house,0.0061663482
sub_grade_E1,0.0060021244
purpose_major_purchase,0.0059427433
tot_cur_bal,0.0057853106
revol_util,0.005751472
mo_sin_rcnt_rev_tl_op,0.0057502165
purpose_vacation,0.0056331586
sub_grade_E3,0.005545647
purpose_educational,0.0054466957
sub_grade_F5,0.0054221335
sub_grade_B1,0.005375725
sub_grade_D3,0.005348112
percent_bc_gt_75_missing,0.0052951337
sub_grade_F2,0.0052926373
sub_grade_D4,0.0052838684
purpose_medical,0.0052673756
purpose_debt_consolidation,0.0051962095
sub_grade_F1,0.0051799323
sub_grade_C5,0.0051759323
sub_grade_D1,0.004984192
sub_grade_C3,0.004927391
purpose_renewable_energy,0.004907861
purpose_home_improvement,0.004877958
sub_grade_D5,0.004863502
sub_grade_E2,0.004716572
sub_grade_E4,0.0046501644
sub_grade_F4,0.004619255
sub_grade_A3,0.0045493264
sub_grade_D2,0.0045276745
sub_grade_A5,0.0045133457
mths_since_recent_bc_missing,0.004490782
bc_open_to_buy_missing,0.004107485
sub_grade_G2,0.004101481
sub_grade_E5,0.0038633232
sub_grade_F3,0.00385571
sub_grade_A2,0.0038512805
revol_util_missing,0.003812749
tot_cur_bal_missing,0.0
mo_sin_old_rev_tl_op_missing,0.0
mort_acc_missing,0.0
annual_inc_missing,0.0
tot_hi_cred_lim_missing,0.0
total_rev_hi_lim_missing,0.0
mo_sin_rcnt_tl_missing,0.0
total_bc_limit_missing,0.0
loan_to_income_missing,0.0
inq_last_6mths_missing,0.0
num_actv_rev_tl_missing,0.0
sub_grade_G4,0.0
sub_grade_G3,0.0
sub_grade_G5,0.0
home_ownership_OTHER,0.0
