variable,iv,type
sub_grade,0.40171962050704557,categorical
int_rate,0.3662971843576434,numeric
grade,0.3651683416843175,categorical
fico_avg,0.12644916799176154,numeric
acc_open_past_24mths,0.07026203595065375,numeric
bc_open_to_buy,0.06457316730229938,numeric
loan_to_income,0.06001678135798241,numeric
total_bc_limit,0.05556655258251896,numeric
num_tl_op_past_12m,0.05530821617821587,numeric
term_months,0.05525252079633472,numeric
annual_inc,0.05286773507267643,numeric
tot_hi_cred_lim,0.05064064501796538,numeric
dti,0.04910289355846436,numeric
avg_cur_bal,0.047994900319914865,numeric
total_rev_hi_lim,0.041868384378197704,numeric
verification_status,0.04115005899424665,categorical
mo_sin_rcnt_tl,0.039377964718456636,numeric
tot_cur_bal,0.039113406980319385,numeric
inq_last_6mths,0.038400304562501424,numeric
mo_sin_rcnt_rev_tl_op,0.032567600627630505,numeric
mort_acc,0.031614158622728705,numeric
mths_since_recent_bc,0.030625376411549974,numeric
percent_bc_gt_75,0.029258801691843136,numeric
home_ownership,0.02785703445232634,categorical
mo_sin_old_rev_tl_op,0.026914762975797923,numeric
mths_since_recent_inq,0.026607125839736935,numeric
bc_util,0.02572398252672963,numeric
purpose,0.025145560260605774,categorical
revol_util,0.02136692726237296,numeric
num_actv_rev_tl,0.02040478794054628,numeric
num_rev_tl_bal_gt_0,0.019920623332146076,numeric
credit_history_months,0.016779200873277077,numeric
addr_state,0.013185666494352117,categorical
mo_sin_old_il_acct,0.011089865195746874,numeric
initial_list_status,0.01072176534191422,categorical
revol_bal,0.009942580360618049,numeric
emp_length_years,0.006139038705691411,numeric
installment,0.0052079403131302,numeric
num_op_rev_tl,0.004936234155813954,numeric
num_actv_bc_tl,0.004292046162608248,numeric
total_il_high_credit_limit,0.003848371478731853,numeric
mths_since_last_record,0.0038138108511542247,numeric
pub_rec_bankruptcies,0.003715777642105071,numeric
pub_rec,0.003647319310834361,numeric
mths_since_last_major_derog,0.003521281309176446,numeric
total_bal_ex_mort,0.0032341241908433486,numeric
total_acc,0.002783887218156992,numeric
num_accts_ever_120_pd,0.002628342646906086,numeric
open_rv_24m,0.0021944380868386074,numeric
num_sats,0.002000432692942461,numeric
mths_since_last_delinq,0.001992127881952521,numeric
loan_amnt,0.0018522771208551118,numeric
num_bc_tl,0.0017411025812532094,numeric
open_acc,0.0015757470592347466,numeric
mths_since_rcnt_il,0.0014143522085718332,numeric
inq_last_12m,0.0013325666478091864,numeric
max_bal_bc,0.0012970384260155997,numeric
open_rv_12m,0.0012664103534366583,numeric
delinq_2yrs,0.0012309215481733178,numeric
open_acc_6m,0.0012201533077852201,numeric
num_il_tl,0.0011895312847789196,numeric
pct_tl_nvr_dlq,0.001164009527187281,numeric
tot_coll_amt,0.001132348295991195,numeric
mths_since_recent_bc_dlq,0.0011129642240459477,numeric
all_util,0.000978984286128466,numeric
il_util,0.0009402498316570235,numeric
open_il_24m,0.0008731310950584265,numeric
mths_since_recent_revol_delinq,0.0008102691201930813,numeric
open_il_12m,0.0006673397960813637,numeric
num_bc_sats,0.0006495024580656032,numeric
num_tl_90g_dpd_24m,0.000505632079711071,numeric
inq_fi,0.000456916862292225,numeric
num_rev_accts,0.00029613113657370654,numeric
collections_12_mths_ex_med,0.00016141075254468343,numeric
chargeoff_within_12_mths,0.00012636092281573981,numeric
tax_liens,0.00012379835808914403,numeric
acc_now_delinq,0.00010349990173630179,numeric
total_bal_il,0.00010310562666464911,numeric
delinq_amnt,8.885637541083479e-05,numeric
num_tl_120dpd_2m,5.923534401556272e-05,numeric
total_cu_tl,5.644531395828244e-05,numeric
open_act_il,5.604710433626249e-05,numeric
num_tl_30dpd,9.742570877657056e-06,numeric
