,0
int_rate,0.025943434133334664
loan_to_income,0.004681277026068953
acc_open_past_24mths,0.004006967663119277
term_months,0.003498337282204034
fico_avg,0.002504449663196473
dti,0.0023059723184639227
grade_D,0.002136336465292121
grade_C,0.0016547587922400187
grade_E,0.0015150244411537672
annual_inc,0.0013010958556846086
num_tl_op_past_12m,0.0011752144422392252
avg_cur_bal,0.0007749086201505273
tot_hi_cred_lim,0.0006208460223981804
grade_F,0.000567345835197397
mths_since_recent_bc,0.0005551303422485887
mort_acc,0.00046431584662123273
home_ownership_RENT,0.0004248153461730242
inq_last_6mths,0.0003857804649737062
tot_cur_bal,0.00032175501329738675
mo_sin_old_rev_tl_op,0.00030427287195347044
mo_sin_rcnt_tl,0.0002983862053744124
num_actv_rev_tl,0.00029559146990378873
grade_B,0.00023525221311460065
verification_status_Verified,0.00021435774056015599
total_bc_limit,0.0001960221339224466
mths_since_recent_inq,0.00016980363929763875
sub_grade_B5,0.00015789719921290856
mo_sin_rcnt_rev_tl_op,0.00014770304459206242
percent_bc_gt_75,0.0001223918190187634
sub_grade_A5,7.843274651726517e-05
sub_grade_A2,7.117714404640818e-05
sub_grade_A3,5.979038196248787e-05
bc_util,5.6200447352727775e-05
sub_grade_A4,5.214183356461177e-05
revol_util,5.04363054446344e-05
total_rev_hi_lim,4.782325327901127e-05
mths_since_recent_inq_missing,4.364504725220542e-05
sub_grade_B4,4.300960192442638e-05
purpose_small_business,4.155231057272335e-05
verification_status_Source Verified,3.322114293626832e-05
sub_grade_C2,3.06534797226643e-05
purpose_credit_card,3.0382293484221278e-05
sub_grade_C1,2.4468342535133304e-05
purpose_debt_consolidation,2.3343181014667814e-05
grade_G,1.8588943288277982e-05
avg_cur_bal_missing,1.521167376814514e-05
mo_sin_rcnt_tl_missing,1.335161921613981e-05
mo_sin_rcnt_rev_tl_op_missing,1.2363134539850052e-05
sub_grade_B2,1.0531766825483402e-05
mo_sin_old_rev_tl_op_missing,1.0111919019606396e-05
total_bc_limit_missing,1.0092156975893829e-05
sub_grade_C5,7.928149441993603e-06
tot_hi_cred_lim_missing,7.548718202943228e-06
sub_grade_C3,7.481272260267957e-06
tot_cur_bal_missing,6.638261725022687e-06
bc_util_missing,5.750117231917429e-06
num_tl_op_past_12m_missing,5.551221824329211e-06
num_actv_rev_tl_missing,4.8239786161641264e-06
percent_bc_gt_75_missing,4.012714847934085e-06
purpose_other,3.930479246694318e-06
mort_acc_missing,3.906382303098254e-06
mths_since_recent_bc_missing,2.581942883872479e-06
acc_open_past_24mths_missing,2.4620956511345327e-06
sub_grade_D2,2.204806591832309e-06
total_rev_hi_lim_missing,2.0388054247755248e-06
sub_grade_B3,1.7450522073803042e-06
purpose_home_improvement,1.7078230670319883e-06
home_ownership_OWN,1.51045762410984e-06
sub_grade_C4,1.1629006490432303e-06
sub_grade_F3,1.1590757373669546e-06
bc_open_to_buy_missing,9.586503651126677e-07
sub_grade_F1,6.334053749501578e-07
sub_grade_E5,4.356574408115321e-07
sub_grade_F5,1.1691480046316372e-07
purpose_major_purchase,8.019564829986337e-08
sub_grade_F4,6.349353391943424e-08
purpose_vacation,0.0
inq_last_6mths_missing,0.0
loan_to_income_missing,0.0
annual_inc_missing,0.0
purpose_house,0.0
purpose_educational,0.0
revol_util_missing,0.0
sub_grade_G2,0.0
sub_grade_G5,0.0
sub_grade_G3,0.0
sub_grade_G4,0.0
sub_grade_G1,0.0
purpose_wedding,0.0
purpose_renewable_energy,0.0
home_ownership_OTHER,0.0
purpose_medical,0.0
purpose_moving,-5.147056156395991e-07
sub_grade_E4,-6.911615413329741e-07
sub_grade_F2,-9.033166427530048e-07
sub_grade_D1,-2.350790721106222e-06
sub_grade_E3,-4.063713670365842e-06
sub_grade_D3,-4.427717765698169e-06
sub_grade_D5,-8.56512473448312e-06
sub_grade_E1,-1.0228961317149122e-05
sub_grade_B1,-1.1650680990182849e-05
sub_grade_E2,-1.3309927678761824e-05
sub_grade_D4,-1.4475633263089093e-05
bc_open_to_buy,-7.057548543851767e-05
