trial,n_estimators,max_depth,min_samples_leaf,max_features,auc,gini,brier,ks,threshold,precision,recall,f1,specificity,sensitivity_at_95_specificity,n_features
1,100,4,300,log2,0.6791106824702583,0.3582213649405166,0.12328685905556237,0.2625016737972902,0.18582594408177958,0.27628074926653123,0.3671865626874625,0.3153122987765615,0.8296086120232516,0.14067186562687461,104
2,200,6,50,0.7,0.6818221763878805,0.3636443527757609,0.1209320867361564,0.26156313481780324,0.2154658909393094,0.2807944030692846,0.3731853629274145,0.3204636188023181,0.830671299986185,0.14403119376124776,104
3,100,12,500,sqrt,0.6873005996243924,0.37460119924878477,0.12069130981076533,0.2705123533587031,0.2149768049960001,0.28386368765515685,0.3772645470905819,0.3239665164198326,0.8313939278009798,0.1468506298740252,104
4,100,4,100,log2,0.6791330919903308,0.35826618398066157,0.12328564765311556,0.2624948150931551,0.18572019885486354,0.2764161588806139,0.3673665266946611,0.3154668383773342,0.8296404926621396,0.14169166166766647,104
5,100,12,100,0.7,0.69072071070531,0.3814414214106201,0.1201611859739795,0.2762688142066808,0.22084548964606873,0.2875648837734146,0.38218356328734254,0.328190598840953,0.8322653319305853,0.1523095380923815,104
6,500,6,500,0.7,0.6817565654465626,0.3635131308931252,0.12093042955831838,0.2616891956196066,0.21618323154001567,0.2798013992326788,0.3718656268746251,0.31933032839665165,0.8304375086343397,0.14409118176364727,104
7,300,4,100,0.5,0.674884105654082,0.34976821130816393,0.12165979617844383,0.25262594371169445,0.21204211451676028,0.2686526743398781,0.35704859028194363,0.3066065679330328,0.827812669365894,0.13917216556688664,104
8,300,8,100,log2,0.6846074130090614,0.3692148260181227,0.12158310977917779,0.26737447486114085,0.20080934656304236,0.2812006319115324,0.3737252549490102,0.3209272376046362,0.830766941902849,0.14619076184763047,104
9,300,4,50,0.5,0.6748833205909588,0.3497666411819176,0.12165996691050542,0.25271781235298196,0.21204261916716996,0.2686526743398781,0.35704859028194363,0.3066065679330328,0.827812669365894,0.1391121775644871,104
10,100,8,300,0.7,0.6864645606282194,0.37292912125643873,0.12053281591901308,0.27119722292032167,0.2184271640731604,0.2845858722635974,0.37822435512897423,0.3247907276239536,0.8315639578750491,0.14817036592681462,104
11,300,4,500,0.7,0.6750591925801406,0.35011838516028115,0.12162092337905481,0.252778725984009,0.2148180743790599,0.2708972738761509,0.3600479904019196,0.30917426466800596,0.8283333864677315,0.13809238152369527,104
12,100,10,50,0.7,0.6897573735484038,0.37951474709680766,0.12024363842984587,0.27378633241375444,0.219676972344503,0.28630106070864364,0.380503899220156,0.32674822923374114,0.8319677793009639,0.1506898620275945,104
13,300,12,300,0.7,0.6903162600814233,0.38063252016284665,0.12021834432323106,0.27529541498210386,0.22035130531577599,0.28630106070864364,0.380503899220156,0.32674822923374114,0.8319677793009639,0.15152969406118777,104
14,200,4,50,log2,0.6798171968883554,0.3596343937767108,0.12337477298913388,0.26313921071430185,0.18394682391986653,0.2763710223425863,0.36730653869226154,0.3154153251770766,0.8296298657825103,0.14157168566286743,104
15,300,4,100,sqrt,0.6783924026238205,0.356784805247641,0.12257158000449773,0.25841727500452666,0.19392564452982036,0.2751071992778154,0.365626874625075,0.31397295556986476,0.8293323131528889,0.14337132573485303,104
16,500,8,500,0.3,0.6854603205032472,0.37092064100649447,0.1206482418255294,0.2664490362041724,0.21677241858883894,0.28413450688332204,0.377624475104979,0.324275595621378,0.8314576890787558,0.14823035392921416,104
17,200,8,300,log2,0.6848381262632289,0.36967625252645786,0.1215844906713078,0.2676572531318967,0.20081364151900072,0.2809298126833672,0.37336532693461305,0.32061815840309077,0.8307031806250731,0.14697060587882424,104
18,300,4,1000,log2,0.6795871115571892,0.3591742231143784,0.123404135260233,0.26305349763088476,0.18350556629608789,0.2755134281200632,0.36616676664667064,0.31443657437218286,0.8294279550695529,0.14103179364127175,104
19,200,6,500,0.5,0.6815412108065204,0.36308242161304083,0.12096217300630809,0.2598090220321096,0.21563817156213538,0.2800270819228165,0.37216556688662267,0.3195878943979395,0.8304906430324863,0.14619076184763047,104
20,300,12,100,0.3,0.690990335742269,0.38198067148453796,0.12015158396849027,0.2773743029313607,0.2195925368423014,0.2881516587677725,0.3829634073185363,0.32886027044430133,0.8324034813657666,0.1528494301139772,104
21,100,6,50,0.3,0.6815433333137625,0.363086666627525,0.12103373383027557,0.2595489643742434,0.21289568047913573,0.27921462423832094,0.3710857828434313,0.3186606567933033,0.8302993591991583,0.14643071385722856,104
22,500,8,50,log2,0.6846691432587331,0.36933828651746614,0.12156600862828341,0.26712273766115846,0.200582374253584,0.2809749492213947,0.3734253149370126,0.32066967160334836,0.8307138075047024,0.14577084583083383,104
23,300,6,500,0.5,0.6815036351928774,0.36300727038575475,0.12096283651202075,0.25932450516942235,0.2156246110314609,0.2801173549988716,0.37228554289142174,0.3196909207984546,0.8305118967917451,0.14607078584283142,104
24,500,6,300,log2,0.6824497991338068,0.36489959826761353,0.12227494779845009,0.2643665974619021,0.1940457732237324,0.2790340780862108,0.3708458308338332,0.31845460399227304,0.830256851680641,0.14439112177564487,104
25,200,12,1000,0.3,0.6875299974276832,0.37505999485536634,0.1205110047613742,0.27226986521591334,0.2195907738400207,0.28503723764387273,0.3788242351529694,0.3253058596265293,0.8316702266713425,0.1465506898620276,104
