trial,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,auc,gini,brier,ks,threshold,precision,recall,f1,specificity,sensitivity_at_95_specificity,n_features
1,100,3,0.05,0.7,0.7,3,0,0,0.6880025837533421,0.3760051675066842,0.12041164934635162,0.2733762846691031,0.21752752363681793,0.2863913337846987,0.380623875224955,0.32685125563425627,0.8319890330602225,0.14943011397720457,104
2,800,6,0.01,0.6,0.6,3,0.5,0,0.6969943228812077,0.3939886457624153,0.11955029517412186,0.28957658081034027,0.2225901484489441,0.2920785375761679,0.3881823635272945,0.3333419188667096,0.8333280198935187,0.1600479904019196,104
3,800,4,0.2,0.9,0.7,10,5,0.5,0.6953914451910523,0.3907828903821047,0.11982700973749161,0.28977747473427495,0.22657334804534912,0.28973143759873615,0.3850629874025195,0.33066323245331614,0.8327754221527933,0.15752849430113977,104
4,100,4,0.1,0.8,0.8,3,0.5,0.5,0.6939898082168245,0.3879796164336491,0.11983025074005127,0.2829844405078879,0.22294160723686218,0.28959602798465356,0.38488302339532093,0.3305086928525435,0.8327435415139053,0.15596880623875226,104
5,100,3,0.1,0.6,0.8,5,5,0.5,0.6921664313804118,0.38433286276082357,0.11998419463634491,0.27914267945021,0.22210024297237396,0.28792597607763487,0.3826634673065387,0.32860270444301354,0.8323503469676199,0.15542891421715657,104
6,100,6,0.2,0.6,0.9,1,5,0.5,0.6960912539014816,0.39218250780296326,0.11976039409637451,0.28786833891550506,0.22470428049564362,0.2893252087564884,0.38452309538092383,0.3301996136509981,0.8326797802361293,0.1603479304139172,104
7,800,5,0.2,0.7,0.6,1,0.5,0.5,0.6885515433655705,0.3771030867311409,0.12092803418636322,0.27666314156431,0.22864678502082825,0.28589483186639586,0.37996400719856027,0.32628461043142304,0.8318721373842999,0.1503899220155969,104
8,100,4,0.01,0.9,0.8,10,1,0.1,0.6803751071126674,0.3607502142253347,0.12235366553068161,0.26072853781333505,0.1902530938386917,0.27790566463552246,0.3693461307738452,0.31716677398583387,0.8299911796899077,0.14205158968206358,104
9,300,5,0.02,0.8,0.6,3,5,0.1,0.6939702880987866,0.38794057619757316,0.11984854191541672,0.2833121187794194,0.22043940424919128,0.29067930489731436,0.3863227354529094,0.33174500965872505,0.8329985866250093,0.15596880623875226,104
10,200,6,0.1,0.8,1.0,3,1,0,0.6983658705501863,0.39673174110037257,0.11947794258594513,0.2903416453827863,0.2242586612701416,0.2924847664184157,0.3887222555488902,0.3338055376690277,0.8334236618101827,0.1618476304739052,104
11,200,3,0.05,0.9,0.8,1,0.5,0.5,0.6918215371813896,0.3836430743627792,0.12002699077129364,0.2790277561537458,0.2219211757183075,0.28824193184382757,0.38308338332333536,0.3289632968448165,0.8324247351250252,0.15380923815236952,104
12,200,6,0.1,0.9,0.7,5,0.5,0.1,0.6978829850123323,0.3957659700246645,0.1194889098405838,0.29078727118095365,0.2253769189119339,0.29104039720153463,0.3868026394721056,0.33215711526078556,0.833083601662044,0.16136772645470907,104
13,800,8,0.05,1.0,0.9,10,1,0.1,0.6955414416526904,0.39108288330538077,0.11984460055828094,0.28642408987517376,0.2251206636428833,0.29090498758745204,0.38662267546490703,0.3320025756600129,0.8330517210231559,0.16112777444511098,104
14,200,8,0.1,0.6,0.6,1,0.5,0.1,0.69445194583999,0.3889038916799801,0.12002644687891006,0.2838935875910226,0.2251877635717392,0.2886481606860754,0.383623275344931,0.32942691564713455,0.8325203770416892,0.1563887222555489,104
15,500,8,0.01,0.9,0.9,10,5,0.5,0.6968268803598925,0.393653760719785,0.11959996819496155,0.2891154016462943,0.22195401787757874,0.2930264048747461,0.38944211157768444,0.33442369607211847,0.8335511843657347,0.15830833833233354,104
16,800,3,0.01,1.0,0.8,5,0,0.5,0.6909101480625226,0.3818202961250452,0.12012191861867905,0.2768973173197795,0.22024859488010406,0.28792597607763487,0.3826634673065387,0.32860270444301354,0.8323503469676199,0.15272945410917815,104
17,500,4,0.1,0.6,0.8,3,5,0,0.6995181991433511,0.39903639828670223,0.11932831257581711,0.29398617423198176,0.22511383891105652,0.2923042202663056,0.38848230353929214,0.3335994848679974,0.8333811542916654,0.16064787042591483,104
18,300,8,0.2,0.7,0.7,5,0.5,0,0.6780471992444372,0.3560943984888745,0.12258072942495346,0.2607863507159568,0.22802908718585968,0.27461069735951255,0.36496700659868025,0.31340631036703154,0.8292154174769663,0.14367126574685063,104
19,800,5,0.1,0.6,0.6,5,1,0.1,0.6959730488307925,0.39194609766158495,0.11980575323104858,0.2876475669255475,0.22629407048225403,0.29104039720153463,0.3868026394721056,0.33215711526078556,0.833083601662044,0.15656868626274745,104
20,100,4,0.2,0.6,0.6,10,0,0.1,0.6960661557872376,0.39213231157447526,0.11963975429534912,0.2861343215783151,0.22337202727794647,0.29266531257052586,0.3889622075584883,0.33401159047005796,0.8334661693287,0.1605878824235153,104
21,200,6,0.2,0.7,0.8,10,0.5,0.1,0.6941634920377802,0.3883269840755603,0.1200249195098877,0.2864812098312954,0.22639410197734833,0.2897765741367637,0.385122975404919,0.3307147456535737,0.8327860490324226,0.15554889022195562,104
22,300,6,0.05,0.9,1.0,10,0,0.1,0.6983014453314903,0.3966028906629806,0.11945408582687378,0.2905966197330241,0.22448943555355072,0.2923042202663056,0.38848230353929214,0.3335994848679974,0.8333811542916654,0.1614877024595081,104
23,200,3,0.05,0.6,1.0,3,5,0.1,0.6924813054413379,0.3849626108826758,0.11997303366661072,0.28078314391000075,0.22205224633216858,0.28968630106070864,0.38500299940011995,0.3306117192530586,0.8327647952731639,0.1548890221955609,104
24,100,3,0.01,0.7,0.6,1,1,0,0.6773173229032582,0.3546346458065164,0.1229061558842659,0.2568134557486118,0.18721149861812592,0.2720830512299707,0.36160767846430714,0.31052157115260787,0.8286203122177235,0.14103179364127175,104
25,800,4,0.05,0.9,0.7,3,5,1,0.6991698446742252,0.3983396893484503,0.11933545023202896,0.2920795373555123,0.22458140552043915,0.2938388625592417,0.3905218956208758,0.33535093367675467,0.8337424681990627,0.1621475704859028,104
26,200,6,0.1,0.7,0.6,1,2,0.5,0.6973185485324588,0.39463709706491756,0.1195409819483757,0.2879046857762697,0.22443713247776031,0.29392913563529677,0.3906418716256749,0.3354539600772698,0.8337637219583214,0.16136772645470907,104
27,500,6,0.1,0.6,0.6,1,2,0.5,0.6950075349803951,0.3900150699607903,0.11990610510110855,0.2876830538186685,0.22569100558757782,0.29203340103814035,0.38812237552489504,0.333290405666452,0.8333173930138893,0.1584283143371326,104
28,100,4,0.02,0.7,1.0,10,0.5,1,0.683221832057856,0.36644366411571205,0.12108057737350464,0.26564430156019364,0.20836976170539856,0.28147145113969757,0.3740851829634073,0.3212363168061816,0.830830703180625,0.1463107378524295,104
29,200,5,0.1,0.7,0.6,10,5,0,0.697788355422294,0.395576710844588,0.11945942789316177,0.28957103213845703,0.22442539036273956,0.29289099526066353,0.3892621475704859,0.3342691564713458,0.8335193037268467,0.16322735452909418,104
30,100,8,0.01,0.6,0.7,3,2,1,0.6905760276834869,0.38115205536697383,0.12155722826719284,0.2783581314151299,0.19206741452217102,0.288873843376213,0.38392321535692864,0.3296844816484224,0.8325735114398359,0.15158968206358728,104
31,500,4,0.1,0.6,0.7,10,0,1,0.6992310228616438,0.3984620457232877,0.11937928944826126,0.29377711157166025,0.22482921183109283,0.29284585872263597,0.3892021595680864,0.3342176432710882,0.8335086768472173,0.16064787042591483,104
32,300,6,0.05,0.9,1.0,10,0.5,0.1,0.6982624653377738,0.3965249306755476,0.11945492029190063,0.2889539750735733,0.22442811727523804,0.29298126833671856,0.38938212357528496,0.33437218287186093,0.8335405574861053,0.1608878224355129,104
33,300,4,0.01,1.0,1.0,1,1,0,0.686893505030304,0.373787010060608,0.12058447301387787,0.27101209464486414,0.21392883360385895,0.2841796434213496,0.3776844631073785,0.32432710882163557,0.8314683159583851,0.14799040191961607,104
34,100,8,0.1,1.0,1.0,3,0,0,0.6958114899798757,0.3916229799597515,0.11976064741611481,0.2867655862776499,0.22501635551452637,0.2893703452945159,0.3845830833833233,0.3302511268512556,0.8326904071157586,0.16106778644271147,104
35,200,3,0.2,0.6,0.7,10,0,0.1,0.6966505812555728,0.39330116251114555,0.11958340555429459,0.28992109698059115,0.22410936653614044,0.2911306702775897,0.3869226154769046,0.3322601416613007,0.8331048554213026,0.1599880023995201,104
36,800,8,0.01,1.0,0.6,10,5,0.5,0.698338533906379,0.396677067812758,0.11943835020065308,0.29042202717680077,0.22327688336372375,0.2934326337169939,0.38998200359928015,0.33488731487443657,0.8336468262823987,0.16160767846430713,104
37,300,4,0.05,0.7,0.8,10,0.5,0.5,0.696549914042441,0.3930998280848821,0.11958757042884827,0.28802806595246766,0.22385932505130768,0.29144662604378246,0.38734253149370124,0.33262073406310366,0.833179243578708,0.16118776244751049,104
38,500,5,0.01,0.6,0.9,1,0,0.1,0.6933826713791363,0.3867653427582727,0.11990049481391907,0.2818124945801798,0.2207789421081543,0.29049875874520426,0.3860827834433113,0.3315389568576948,0.8329560791064919,0.15506898620275944,104
39,800,5,0.02,0.8,0.6,3,1,0.5,0.6982367925305492,0.3964735850610983,0.11942650377750397,0.29083502392836064,0.22356192767620087,0.29298126833671856,0.38938212357528496,0.33437218287186093,0.8335405574861053,0.16136772645470907,104
40,200,6,0.2,0.8,1.0,1,5,0.5,0.6948875465446331,0.3897750930892663,0.11987832188606262,0.28805407407694983,0.22593793272972107,0.2924396298803882,0.3886622675464907,0.3337540244687701,0.8334130349305533,0.15662867426514698,104
