step,action,n_features,auc,brier,ks
0,(full set),30,0.6904353550815645,0.12020559699503411,0.27703801095871616
1,-mths_since_recent_inq,29,0.690481642250311,0.12021312194012071,0.2775990808788222
2,-tot_hi_cred_lim,28,0.6904939928901395,0.12021721233243197,0.27691978995089495
3,-annual_inc,27,0.6905254190020222,0.12021442800386246,0.27703123831509396
4,-grade,26,0.6905461908224086,0.12021515361671405,0.2772511452375257
5,-bc_open_to_buy,25,0.6905595965003767,0.12021642739249096,0.2775587178607892
6,-avg_cur_bal,24,0.6905605189415778,0.12021799239554416,0.2775630980221528
7,-total_rev_hi_lim,23,0.6905227154269468,0.120221962127769,0.2777297494242345
8,-revol_util,22,0.6904734709639829,0.12022311073487664,0.2772810330974262
9,-num_tl_op_past_12m,21,0.6904033310084883,0.1202288355430504,0.2769941832081826
10,-mo_sin_rcnt_rev_tl_op,20,0.6903335754566179,0.12023623619350608,0.27665197345967724
11,-tot_cur_bal,19,0.6902659140438945,0.1202405245690559,0.27699349536156465
12,-mo_sin_rcnt_tl,18,0.6901844147381828,0.12024998571954723,0.27632161966242264
13,-mo_sin_old_rev_tl_op,17,0.6901061564076384,0.12025522844056542,0.27610384194082854
14,-verification_status,16,0.6899783393338866,0.12027196868505044,0.27665905974605765
15,-int_rate,15,0.6897788982389067,0.12026692233636792,0.2762144252375017
16,-num_actv_rev_tl,14,0.6896246848121369,0.12028362672070346,0.27576478328206583
17,-bc_util,13,0.6893216268596315,0.12031483763209576,0.27471295998077133
18,-percent_bc_gt_75,12,0.689129633505186,0.12032708388140609,0.2752321292683472
19,-mths_since_recent_bc,11,0.6886333932881864,0.12038880639367622,0.27600774485967416
20,-total_bc_limit,10,0.6882199649590917,0.12043993723019479,0.27537898356503654
21,-purpose,9,0.6876595127622226,0.12049159634773997,0.2740016417923416
22,-inq_last_6mths,8,0.686952316553618,0.12054226452592914,0.2724926401846229
23,-mort_acc,7,0.6857845346797634,0.12065004857317115,0.2722070193670004
24,-term_months,6,0.6844109747884963,0.12075729661482149,0.27149208982445544
25,-fico_avg,5,0.6833290978811283,0.12083848144436457,0.26815269521732477
26,-dti,4,0.6821091907483265,0.12093510174209199,0.26571344448870926
27,-home_ownership,3,0.678743868339859,0.12117623835435419,0.2621736920827649
28,-acc_open_past_24mths,2,0.6718018059919754,0.12172735768097535,0.2507602869390097
29,-loan_to_income,1,0.6659619942622882,0.12224961372609054,0.2443191535123651
