step,action,n_features,auc,brier,ks
1,+sub_grade,1,0.6659621571397774,0.12224961372609047,0.2443191535123651
2,+loan_to_income,2,0.6718018056732328,0.12172735768097535,0.2507602869390097
3,+acc_open_past_24mths,3,0.678743868339859,0.1211762383543542,0.2621736920827649
4,+home_ownership,4,0.682109190429584,0.12093510174209218,0.26571344448870926
5,+dti,5,0.6833290978811284,0.12083848144436458,0.26815269521732477
6,+fico_avg,6,0.6844109747884963,0.12075729661482147,0.27149208982445544
7,+term_months,7,0.6857845346797635,0.12065004857317115,0.2722070193670004
8,+mort_acc,8,0.6869523165536179,0.12054226452592916,0.2724926401846229
9,+inq_last_6mths,9,0.6876595127622227,0.12049159634773995,0.2740016417923416
10,+purpose,10,0.6882199649590915,0.1204399372301948,0.27537898356503654
11,+total_rev_hi_lim,11,0.6887084374179457,0.1203943986499011,0.27595367463313536
12,+mths_since_recent_bc,12,0.6891493719619324,0.12034153799332738,0.27493904796048474
13,+percent_bc_gt_75,13,0.6893597102303007,0.12032566371612437,0.27494997318322545
14,+bc_util,14,0.6896332067153694,0.1202983900672802,0.27556395501911507
15,+int_rate,15,0.6898340120288501,0.1203062213405614,0.2758711432387543
16,+num_actv_rev_tl,16,0.6899695796486445,0.1202817067932804,0.276277104065271
17,+num_tl_op_past_12m,17,0.6901112499150311,0.1202771931480952,0.27708343688484854
18,+mo_sin_old_rev_tl_op,18,0.690214310885392,0.12026831184969593,0.27728711789443045
19,+verification_status,19,0.6903028811778371,0.12024949666018027,0.27696745663778904
20,+total_bc_limit,20,0.6903770468528796,0.12023416567049995,0.2764802387499674
21,+revol_util,21,0.6904200484224894,0.1202304294546578,0.2771023740225972
22,+tot_cur_bal,22,0.6904720321597044,0.12022896807486368,0.27659228380038914
23,+mo_sin_rcnt_tl,23,0.690505583010028,0.12022314219699258,0.2763649010880707
24,+mo_sin_rcnt_rev_tl_op,24,0.6905605189415778,0.12021799239554423,0.2775630980221528
25,+avg_cur_bal,25,0.6905595965003767,0.1202164273924929,0.2775587178607892
26,+bc_open_to_buy,26,0.6905461908224088,0.12021515361671554,0.2772511452375257
27,+grade,27,0.6905254190020222,0.12021442800386022,0.27703123831509396
28,+mths_since_recent_inq,28,0.6905044438238312,0.12020552907750157,0.2765407577776057
29,+annual_inc,29,0.690470661566351,0.12020733497686568,0.2766742338081942
30,+tot_hi_cred_lim,30,0.6904353550815644,0.12020559699528958,0.27703801095871616
