step,action,n_features,auc,brier,ks
1,+sub_grade,1,0.6659624883133807,0.1222496137260905,0.2443191535123651
2,+loan_to_income,2,0.6718018079044311,0.1217273576809754,0.2507602869390097
3,+acc_open_past_24mths,3,0.6787438677023736,0.12117623835435419,0.2621736920827649
4,+home_ownership,4,0.682109190429584,0.12093510174209193,0.26571344448870926
5,+dti,5,0.6833290978811283,0.12083848144436457,0.26815269521732477
6,+fico_avg,6,0.6844109747884963,0.12075729661482149,0.27149208982445544
7,+term_months,7,0.6857845346797634,0.12065004857317115,0.2722070193670004
8,+mort_acc,8,0.686952316553618,0.12054226452592914,0.2724926401846229
9,+inq_last_6mths,9,0.6876595127622226,0.12049159634773997,0.2740016417923416
10,+purpose,10,0.6882199649590917,0.12043993723019482,0.27537898356503654
11,+total_rev_hi_lim,11,0.6887084374179457,0.1203943986499011,0.27595367463313536
12,+mths_since_recent_bc,12,0.6891493719619324,0.12034153799332739,0.27493904796048474
13,+percent_bc_gt_75,13,0.6893597102303007,0.12032566371612428,0.27494997318322545
14,+bc_util,14,0.6896332067153694,0.12029839006728024,0.27556395501911507
15,+int_rate,15,0.6898340120288501,0.12030622134056149,0.2758711432387543
16,+num_actv_rev_tl,16,0.6899695796486445,0.12028170679328044,0.276277104065271
17,+num_tl_op_past_12m,17,0.6901112499150313,0.12027719314809825,0.27708343688484854
18,+mo_sin_old_rev_tl_op,18,0.690214310885392,0.12026831184969602,0.27728711789443045
19,+verification_status,19,0.6903028811778371,0.12024949666018281,0.27696745663778904
20,+total_bc_limit,20,0.6903770468528795,0.12023416567049365,0.2764802387499674
21,+revol_util,21,0.6904200484224894,0.12023042945465691,0.2771023740225972
22,+tot_cur_bal,22,0.6904720321597043,0.12022896807486351,0.27659228380038914
23,+mo_sin_rcnt_tl,23,0.690505583010028,0.12022314219699265,0.2763649010880707
24,+mo_sin_rcnt_rev_tl_op,24,0.6905605189415778,0.1202179923955443,0.2775630980221528
